x,y,z
333037.405,3060596.771,1285.9
333037.547,3060596.722,1285.8
333037.689,3060596.674,1285.7
333037.831,3060596.626,1285.6
333037.973,3060596.577,1285.5
333038.115,3060596.529,1285.4
333038.257,3060596.481,1285.3
333038.399,3060596.432,1285.2
333038.541,3060596.384,1285.1
333038.683,3060596.336,1285.9
333038.825,3060596.287,1285.8
333038.967,3060596.239,1285.7
333039.109,3060596.191,1285.6
333039.251,3060596.143,1285.5
333039.393,3060596.094,1285.4
333039.535,3060596.046,1285.3
333039.677,3060595.998,1285.2
333039.819,3060595.949,1285.1
